Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Jersey,Hometown,DOB,Age,Weight,Height,PlayerId
,1327297536,K. Becker,Kyle Becker,Becker,Kyle,P,Northwest Nazarene University,NNU,730385152,Northwest Nazarene,ND2,L,R,16,"San Diego, CA, US",-,0,0,6' 0",1327297536
,1162363392,M. Swinney,Mason Swinney,Swinney,Mason,SS,North Greenville University,NGU,730268416,North Greenville,ND2,R,R,3,"Phil Campbell, AL, US",2003-08-28,23,192,6' 0",1162363392
,1238152192,A. Prieto,Angelo Prieto,Prieto,Angelo,OF,Edward Waters,EDW,632347648,Edward Waters,ND2,R,R,14,"Miami, FL, US",2004-11-20,21,185,6' 0",1238152192
,1296166144,C. Patterson,Collin Patterson,Patterson,Collin,P,University of Alabama-Huntsville,UOA,730160384,University of Alabama-Huntsville,ND2,R,R,16,"Lester, AL, US",2004-11-16,21,195,6' 6",1296166144
,1213823488,D. Zang,Daniel Zang,Zang,Daniel,P,Minnesota State University-Mankato,MSU,730334208,Minnesota State University-Mankato,ND2,R,R,29,"Prior Lake, MN, US",-,0,0,6' 2",1213823488
,1306902528,J. Yoxtheimer,Jax Yoxtheimer,Yoxtheimer,Jax,OF,Columbus State University,CSU,730150912,Columbus State,ND2,L,R,10,"Phenix City, AL, US",2004-12-05,21,200,6' 4",1306902528
,1310633216,M. Bullard,Matthew Bullard,Bullard,Matthew,P,University of Montevallo,UOM,730370816,University of Montevallo,ND2,L,L,47,"Calera, AL, US",2004-01-13,22,180,5' 11",1310633216
,1239158784,J. Williams,Jacob Williams,Williams,Jacob,P,Belmont Abbey College,BAC,730285824,Belmont Abbey,ND2,R,R,29,"Raleigh, NC, US",-,0,0,6' 4",1239158784
,1109883392,J. Steinberg,Jacob Steinberg,Steinberg,Jacob,IF,Belmont Abbey College,BAC,730285824,Belmont Abbey,ND2,R,R,26,"Darnestown, MD, US",1999-11-11,26,220,6' 2",1109883392
,1310792448,C. Bernal,Chris Bernal,Bernal,Chris,C,Angelo State University,ASU,730381568,Angelo State,ND2,R,R,36,"McAllen, TX, US",-,0,0,5' 10",1310792448
,1123957248,B. Luikart,Brayden Luikart,Luikart,Brayden,OF,Missouri Southern St. University,MSSU,730186240,Missouri Southern St.,ND2,L,L,24,"St Joseph, MO, US",2002-07-10,24,200,6' 0",1123957248
,1299820800,L. Minshew,Lawson Minshew,Minshew,Lawson,P,Missouri Western St. University,MWSU,730317568,Missouri Western St.,ND2,R,R,47,"Lakeside, CA, US",2004-06-22,22,215,6' 0",1299820800
,1118136320,T. Morris,Ty Morris,Morris,Ty,P,Frostburg State University,FSU,730316288,Frostburg State,ND2,R,R,45,"Hampstead, MD, US",2001-12-28,24,205,6' 4",1118136320
,1136423680,M. Bejarano,Mauri Bejarano,Bejarano,Mauri,IF,Rollins College,RC,730366464,Rollins,ND2,S,R,11,"Coconut Creek, FL, US",-,0,165,6' 0",1136423680
,1207770880,H. Clevenger,Heath Clevenger,Clevenger,Heath,P,Florida Southern College,FSC,730161920,Florida Southern,ND2,R,R,52,"Alpharetta, GA, US",2002-08-26,24,210,6' 6",1207770880
,1099891456,J. Renaud,Jack Renaud,Renaud,Jack,P,Lenoir-Rhyne University,LU,730198528,Lenoir-Rhyne,ND2,R,R,33,"West Creek, NJ, US",2004-09-13,21,215,6' 5",1099891456
,1109123328,K. Spenser,Keanu Spenser,Spenser,Keanu,IF,Hawaii Pacific University,HPU,730309632,Hawaii Pacific,ND2,R,R,21,"Scottsdale, AZ, US",-,0,0,6' 1",1109123328
,1207803648,P. Nicoloudes,Pambos Nicoloudes,Nicoloudes,Pambos,IF,Minnesota State University-Mankato,MSU,730334208,Minnesota State University-Mankato,ND2,R,R,25,"Naperville, IL, US",2004-09-14,21,200,6' 1",1207803648
,1296570368,A. Kutz,Austin Kutz,Kutz,Austin,P,Mars Hill University,MHU,730181120,Mars Hill,ND2,R,R,30,"Hartford, WI, US",2004-08-17,22,215,6' 7",1296570368
,1085383680,B. Keneston,Brody Keneston,Keneston,Brody,IF,Southern New Hampshire University,SNHU,730204928,Southern New Hampshire,ND2,R,R,23,"Ballston Spa, NY, US",2003-09-29,22,195,6' 2",1085383680
,1194531328,I. Sobieszczyk,Isaac Sobieszczyk,Sobieszczyk,Isaac,3B,Missouri Western St. University,MWSU,730317568,Missouri Western St.,ND2,R,R,45,"Crawfordsville, IN, US",2005-05-09,21,225,6' 3",1194531328
